,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
6429,"<a href=""http://localhost:5000/NFL/PbP/2023_01_ARI_WAS"">ARI vs. WAS</a>",2023,REG,1,2023-09-10,Sunday,13:00,ARI,16.0,WAS,20.0,Home,4.0,36.0,0.0,2023091007,,,202309100was,,401547406,,7,7,270.0,-340.0,7.0,-108.0,-112.0,38.0,-110.0,-110.0,0,outdoors,,,,00-0033949,00-0037077,Joshua Dobbs,Sam Howell,Jonathan Gannon,Ron Rivera,Alan Eck,WAS00,FedExField
6449,"<a href=""http://localhost:5000/NFL/PbP/2023_02_WAS_DEN"">WAS vs. DEN</a>",2023,REG,2,2023-09-17,Sunday,16:25,WAS,35.0,DEN,33.0,Home,-2.0,68.0,0.0,2023091711,,,202309170den,,401547416,,7,7,164.0,-198.0,4.0,-110.0,-110.0,38.5,-110.0,-110.0,0,outdoors,,,,00-0037077,00-0029263,Sam Howell,Russell Wilson,Ron Rivera,Sean Payton,Brad Rogers,DEN00,Empower Field at Mile High
6462,"<a href=""http://localhost:5000/NFL/PbP/2023_03_BUF_WAS"">BUF vs. WAS</a>",2023,REG,3,2023-09-24,Sunday,13:00,BUF,37.0,WAS,3.0,Home,-34.0,40.0,0.0,2023092408,,,202309240was,,401547431,,7,7,-245.0,200.0,-5.5,-115.0,-105.0,44.0,-108.0,-112.0,0,outdoors,grass,65.0,1.0,00-0034857,00-0037077,Josh Allen,Sam Howell,Sean McDermott,Ron Rivera,Land Clark,WAS00,FedExField
6478,"<a href=""http://localhost:5000/NFL/PbP/2023_04_WAS_PHI"">WAS vs. PHI</a>",2023,REG,4,2023-10-01,Sunday,13:00,WAS,31.0,PHI,34.0,Home,3.0,65.0,1.0,2023100108,,,202310010phi,,401547451,,7,6,350.0,-455.0,9.5,-110.0,-110.0,43.0,-110.0,-110.0,1,outdoors,grass,,,00-0037077,00-0036389,Sam Howell,Jalen Hurts,Ron Rivera,Nick Sirianni,Ron Torbert,PHI00,Lincoln Financial Field
6485,"<a href=""http://localhost:5000/NFL/PbP/2023_05_CHI_WAS"">CHI vs. WAS</a>",2023,REG,5,2023-10-05,Thursday,20:15,CHI,40.0,WAS,20.0,Home,-20.0,60.0,0.0,2023100500,,,202310050was,,401547457,,4,4,210.0,-258.0,6.0,-110.0,-110.0,45.5,-112.0,-108.0,0,outdoors,grass,70.0,1.0,00-0036945,00-0037077,Justin Fields,Sam Howell,Matt Eberflus,Ron Rivera,Scott Novak,WAS00,FedExField
