,Player Name,Total Rushing Yards
67,J.K. Dobbins,798.0
93,Jordan Mason,741.0
96,Josh Jacobs,705.0
130,Saquon Barkley,612.0
126,Rhamondre Stevenson,603.0
4,Alvin Kamara,594.0
90,Joe Mixon,552.0
18,Brian Robinson,519.0
77,James Conner,516.0
110,Lamar Jackson,501.0
