,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
710,00-0035261,T.Pollard,Tony Pollard,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rvesbybzmlucxce3hkwf",DAL,2022,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,9,43.0,1,0.0,0.0,3.0,0.61540467,0,4,7,55.0,0,0.0,0.0,-6.0,59.0,2.0,1.1042404,0,-9.166667,0.23333333,-0.033707865,0.32640448,0.0,15.8,19.8
711,00-0035261,T.Pollard,Tony Pollard,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rvesbybzmlucxce3hkwf",DAL,2022,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,13,105.0,0,0.0,0.0,5.0,3.0278482,0,0,1,0.0,0,0.0,0.0,3.0,0.0,0.0,-1.0178726,0,0.0,0.033333335,0.011811024,0.058267716,0.0,10.5,10.5
712,00-0035261,T.Pollard,Tony Pollard,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rvesbybzmlucxce3hkwf",DAL,2022,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,8,6.0,0,0.0,0.0,0.0,-5.0076017,0,1,3,2.0,0,0.0,0.0,1.0,2.0,0.0,-2.8193882,0,2.0,0.115384616,0.0044444446,0.17618804,0.0,0.8,1.8
713,00-0035277,M.Jackson,Michael Jackson,CB,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yf7vpqejkffgxlq0mlrn",SEA,2022,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,1.0,6.0,6.0
714,00-0035298,S.Miller,Scott Miller,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t25xiwqy1y0k99fybmpv",TB,2022,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,8.0,0,0.0,0.0,0.0,-0.36120686,0,3,8,34.0,0,0.0,0.0,139.0,3.0,2.0,-1.8079786,0,0.24460432,0.24242425,0.4483871,0.67750734,0.0,4.2,7.2
715,00-0035298,S.Miller,Scott Miller,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t25xiwqy1y0k99fybmpv",TB,2022,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,5,4.0,0,0.0,0.0,42.0,2.0,0.0,-1.603965,0,0.0952381,0.125,0.18340611,0.3158843,0.0,0.4,1.4
716,00-0035345,C.Myarick,Chris Myarick,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p4wveksckzn0nuept8zw",NYG,2022,1,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,1.0,1,0.0,0.0,1.0,0.0,1.0,1.1235902,0,1.0,0.04761905,0.008333334,0.0772619,0.0,6.1,7.1
717,00-0035345,C.Myarick,Chris Myarick,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p4wveksckzn0nuept8zw",NYG,2022,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,6.0,0,0.0,0.0,4.0,2.0,0.0,1.3747196,0,1.5,0.03125,0.018691588,0.059959114,0.0,0.6,1.6
718,00-0035359,D.Sills,David Sills,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w7wxepfdmbqjkjtojbpy",NYG,2022,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,4,37.0,0,0.0,0.0,29.0,15.0,2.0,3.0772383,0,1.2758621,0.125,0.14646465,0.29002526,0.0,3.7,6.7
719,00-0035359,D.Sills,David Sills,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w7wxepfdmbqjkjtojbpy",NYG,2022,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,4,20.0,0,0.0,0.0,48.0,1.0,2.0,-0.1488804,0,0.41666666,0.125,0.22429906,0.34450933,0.0,2.0,4.0
720,00-0035359,D.Sills,David Sills,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w7wxepfdmbqjkjtojbpy",NYG,2022,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,5.0,0,0.0,0.0,13.0,1.0,0.0,-1.3328942,0,0.3846154,0.13333334,0.08783784,0.2614865,0.0,0.5,1.5
721,00-0035406,L.Humphrey,Lil'Jordan Humphrey,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r58pqj96qunak08kld9u",NE,2022,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,11.0,0,0.0,0.0,16.0,4.0,0.0,0.27960083,0,0.6875,0.05882353,0.050314464,0.12345542,0.0,1.1,2.1
722,00-0035406,L.Humphrey,Lil'Jordan Humphrey,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r58pqj96qunak08kld9u",NE,2022,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,13.0,0.0,0.0,-0.77889836,0,0.0,0.03125,0.033678755,0.07045013,0.0,0.0,0.0
