,Player Name,Total Receiving TD's
51,Chris Godwin,6.0
254,Stefon Diggs,6.0
178,Justin Jefferson,6.0
207,Marvin Harrison Jr.,6.0
214,Mike Evans,6.0
235,Quentin Johnston,6.0
239,Rashid Shaheed,6.0
9,Allen Lazard,6.0
14,Andrei Iosivas,6.0
7,Alec Pierce,6.0
