,Player Name,Total Receiving Yards
394,Tyreek Hill,902.0
0,A.J. Brown,809.0
316,Puka Nacua,752.0
353,Stefon Diggs,678.0
82,D.J. Moore,636.0
239,Keenan Allen,574.0
226,Justin Jefferson,571.0
15,Amon-Ra St. Brown,557.0
170,Ja'Marr Chase,556.0
301,Nico Collins,547.0
