,Player Name,Total Rushing TD's
4,Alvin Kamara,12.0
82,Jayden Daniels,6.0
130,Saquon Barkley,6.0
95,Josh Allen,6.0
78,James Cook,6.0
77,James Conner,6.0
67,J.K. Dobbins,6.0
137,Travis Etienne,6.0
126,Rhamondre Stevenson,6.0
49,Derrick Henry,6.0
