,Player Name,Total Passing TD's
13,Derek Carr,15.0
3,Baker Mayfield,15.0
34,Sam Darnold,12.0
29,Kyler Murray,12.0
0,Aaron Rodgers,9.0
33,Patrick Mahomes,9.0
28,Kirk Cousins,9.0
27,Justin Herbert,9.0
25,Josh Allen,9.0
20,Jalen Hurts,9.0
