,Player Name,Total Passing Yards
5,Brock Purdy,1650.0
32,Matthew Stafford,1599.0
15,Gardner Minshew,1599.0
21,Jared Goff,1572.0
30,Lamar Jackson,1560.0
16,Geno Smith,1494.0
7,C.J. Stroud,1482.0
37,Tua Tagovailoa,1449.0
34,Sam Darnold,1428.0
3,Baker Mayfield,1422.0
