,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
6428,"<a href=""http://localhost:5000/NFL/PbP/2023_01_SF_PIT"">SF vs. PIT</a>",2023,REG,1,2023-09-10,Sunday,13:00,SF,30.0,PIT,7.0,Home,-23.0,37.0,0.0,2023091006,,,202309100pit,,401547405,,7,7,-120.0,100.0,-1.5,-108.0,-112.0,41.5,-110.0,-110.0,0,outdoors,,,,00-0037834,00-0038102,Brock Purdy,Kenny Pickett,Kyle Shanahan,Mike Tomlin,Alex Kemp,PIT00,Acrisure Stadium
6452,"<a href=""http://localhost:5000/NFL/PbP/2023_02_CLE_PIT"">CLE vs. PIT</a>",2023,REG,2,2023-09-18,Monday,20:15,CLE,22.0,PIT,26.0,Home,4.0,48.0,0.0,2023091801,,,202309180pit,,401547424,,8,8,-148.0,124.0,-2.5,-115.0,-105.0,39.0,-110.0,-110.0,1,outdoors,,,,00-0033537,00-0038102,Deshaun Watson,Kenny Pickett,Kevin Stefanski,Mike Tomlin,Ron Torbert,PIT00,Acrisure Stadium
6466,"<a href=""http://localhost:5000/NFL/PbP/2023_03_PIT_LV"">PIT vs. LV</a>",2023,REG,3,2023-09-24,Sunday,20:20,PIT,23.0,LV,18.0,Home,-5.0,41.0,0.0,2023092412,,,202309240rai,,401547439,,6,7,124.0,-148.0,3.0,-110.0,-110.0,43.5,-110.0,-110.0,0,dome,grass,,,00-0038102,00-0031345,Kenny Pickett,Jimmy Garoppolo,Mike Tomlin,Josh McDaniels,Tra Blake,VEG00,Allegiant Stadium
6475,"<a href=""http://localhost:5000/NFL/PbP/2023_04_PIT_HOU"">PIT vs. HOU</a>",2023,REG,4,2023-10-01,Sunday,13:00,PIT,6.0,HOU,30.0,Home,24.0,36.0,0.0,2023100105,,,202310010htx,,401547446,,7,7,-162.0,136.0,-3.0,-110.0,-110.0,41.5,-110.0,-110.0,0,open,astroturf,,,00-0038102,00-0039163,Kenny Pickett,C.J. Stroud,Mike Tomlin,DeMeco Ryans,Bill Vinovich,HOU00,NRG Stadium
