,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
6424,"<a href=""http://localhost:5000/NFL/PbP/2023_01_CIN_CLE"">CIN vs. CLE</a>",2023,REG,1,2023-09-10,Sunday,13:00,CIN,3.0,CLE,24.0,Home,21.0,27.0,0.0,2023091002,,,202309100cle,,401547397,,7,7,-112.0,-108.0,-1.0,-105.0,-115.0,46.5,-110.0,-110.0,1,outdoors,,,,00-0036442,00-0033537,Joe Burrow,Deshaun Watson,Zac Taylor,Kevin Stefanski,Clete Blakeman,CLE00,FirstEnergy Stadium
6440,"<a href=""http://localhost:5000/NFL/PbP/2023_02_BAL_CIN"">BAL vs. CIN</a>",2023,REG,2,2023-09-17,Sunday,13:00,BAL,27.0,CIN,24.0,Home,-3.0,51.0,0.0,2023091702,,,202309170cin,,401547412,,7,7,145.0,-175.0,3.5,-118.0,-102.0,45.5,-110.0,-110.0,1,outdoors,,,,00-0034796,00-0036442,Lamar Jackson,Joe Burrow,John Harbaugh,Zac Taylor,Shawn Hochuli,CIN00,Paycor Stadium
6468,"<a href=""http://localhost:5000/NFL/PbP/2023_03_LA_CIN"">LA vs. CIN</a>",2023,REG,3,2023-09-25,Monday,20:15,LA,16.0,CIN,19.0,Home,3.0,35.0,0.0,2023092501,,,202309250cin,,401547441,,8,8,136.0,-162.0,3.0,100.0,-120.0,45.5,-108.0,-112.0,0,outdoors,fieldturf,74.0,7.0,00-0026498,00-0036442,Matthew Stafford,Joe Burrow,Sean McVay,Zac Taylor,John Hussey,CIN00,Paycor Stadium
6479,"<a href=""http://localhost:5000/NFL/PbP/2023_04_CIN_TEN"">CIN vs. TEN</a>",2023,REG,4,2023-10-01,Sunday,13:00,CIN,3.0,TEN,27.0,Home,24.0,30.0,0.0,2023100109,,,202310010oti,,401547452,,6,7,-162.0,136.0,-2.5,-120.0,100.0,41.5,-108.0,-112.0,0,outdoors,grass,82.0,4.0,00-0036442,00-0029701,Joe Burrow,Ryan Tannehill,Zac Taylor,Mike Vrabel,Shawn Smith,NAS00,Nissan Stadium
