,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
6432,"<a href=""http://localhost:5000/NFL/PbP/2023_01_MIA_LAC"">MIA vs. LAC</a>",2023,REG,1,2023-09-10,Sunday,16:25,MIA,36.0,LAC,34.0,Home,-2.0,70.0,0.0,2023091010,,,202309100sdg,,401547401,,7,7,136.0,-162.0,3.0,-110.0,-110.0,50.5,-110.0,-110.0,0,dome,,,,00-0036212,00-0036355,Tua Tagovailoa,Justin Herbert,Mike McDaniel,Brandon Staley,Brad Allen,LAX01,SoFi Stadium
6445,"<a href=""http://localhost:5000/NFL/PbP/2023_02_LAC_TEN"">LAC vs. TEN</a>",2023,REG,2,2023-09-17,Sunday,13:00,LAC,24.0,TEN,27.0,Home,3.0,51.0,1.0,2023091707,,,202309170oti,,401547414,,7,7,-142.0,120.0,-2.5,-118.0,-102.0,45.5,-110.0,-110.0,0,outdoors,,,,00-0036355,00-0029701,Justin Herbert,Ryan Tannehill,Brandon Staley,Mike Vrabel,Alan Eck,NAS00,Nissan Stadium
6460,"<a href=""http://localhost:5000/NFL/PbP/2023_03_LAC_MIN"">LAC vs. MIN</a>",2023,REG,3,2023-09-24,Sunday,13:00,LAC,28.0,MIN,24.0,Home,-4.0,52.0,0.0,2023092406,,,202309240min,,401547436,,7,10,-110.0,-110.0,1.0,-115.0,-105.0,54.0,-110.0,-110.0,0,dome,sportturf,,,00-0036355,00-0029604,Justin Herbert,Kirk Cousins,Brandon Staley,Kevin O'Connell,Shawn Smith,MIN01,U.S. Bank Stadium
6480,"<a href=""http://localhost:5000/NFL/PbP/2023_04_LV_LAC"">LV vs. LAC</a>",2023,REG,4,2023-10-01,Sunday,16:05,LV,17.0,LAC,24.0,Home,7.0,41.0,0.0,2023100110,,,202310010sdg,,401547447,,7,7,250.0,-310.0,7.0,-115.0,-105.0,49.0,-110.0,-110.0,1,dome,matrixturf,,,00-0038579,00-0036355,Aidan O'Connell,Justin Herbert,Josh McDaniels,Brandon Staley,John Hussey,LAX01,SoFi Stadium
