,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
6427,"<a href=""http://localhost:5000/NFL/PbP/2023_01_TEN_NO"">TEN vs. NO</a>",2023,REG,1,2023-09-10,Sunday,13:00,TEN,15.0,NO,16.0,Home,1.0,31.0,0.0,2023091005,,,202309100nor,,401547399,,7,7,124.0,-148.0,3.0,-118.0,-102.0,41.0,-110.0,-110.0,0,dome,,,,00-0029701,00-0031280,Ryan Tannehill,Derek Carr,Mike Vrabel,Dennis Allen,Ron Torbert,NOR00,Mercedes-Benz Superdome
6445,"<a href=""http://localhost:5000/NFL/PbP/2023_02_LAC_TEN"">LAC vs. TEN</a>",2023,REG,2,2023-09-17,Sunday,13:00,LAC,24.0,TEN,27.0,Home,3.0,51.0,1.0,2023091707,,,202309170oti,,401547414,,7,7,-142.0,120.0,-2.5,-118.0,-102.0,45.5,-110.0,-110.0,0,outdoors,,,,00-0036355,00-0029701,Justin Herbert,Ryan Tannehill,Brandon Staley,Mike Vrabel,Alan Eck,NAS00,Nissan Stadium
6455,"<a href=""http://localhost:5000/NFL/PbP/2023_03_TEN_CLE"">TEN vs. CLE</a>",2023,REG,3,2023-09-24,Sunday,13:00,TEN,3.0,CLE,27.0,Home,24.0,30.0,0.0,2023092401,,,202309240cle,,401547428,,7,6,154.0,-185.0,3.5,-110.0,-110.0,38.0,-110.0,-110.0,0,outdoors,grass,68.0,5.0,00-0029701,00-0033537,Ryan Tannehill,Deshaun Watson,Mike Vrabel,Kevin Stefanski,Craig Wrolstad,CLE00,FirstEnergy Stadium
6479,"<a href=""http://localhost:5000/NFL/PbP/2023_04_CIN_TEN"">CIN vs. TEN</a>",2023,REG,4,2023-10-01,Sunday,13:00,CIN,3.0,TEN,27.0,Home,24.0,30.0,0.0,2023100109,,,202310010oti,,401547452,,6,7,-162.0,136.0,-2.5,-120.0,100.0,41.5,-108.0,-112.0,0,outdoors,grass,82.0,4.0,00-0036442,00-0029701,Joe Burrow,Ryan Tannehill,Zac Taylor,Mike Vrabel,Shawn Smith,NAS00,Nissan Stadium
