,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
6431,"<a href=""http://localhost:5000/NFL/PbP/2023_01_LV_DEN"">LV vs. DEN</a>",2023,REG,1,2023-09-10,Sunday,16:25,LV,17.0,DEN,16.0,Home,-1.0,33.0,0.0,2023091009,,,202309100den,,401547400,,7,7,136.0,-162.0,3.0,-105.0,-115.0,43.0,-110.0,-110.0,1,outdoors,,,,00-0031345,00-0029263,Jimmy Garoppolo,Russell Wilson,Josh McDaniels,Sean Payton,Bill Vinovich,DEN00,Empower Field at Mile High
6439,"<a href=""http://localhost:5000/NFL/PbP/2023_02_LV_BUF"">LV vs. BUF</a>",2023,REG,2,2023-09-17,Sunday,13:00,LV,10.0,BUF,38.0,Home,28.0,48.0,0.0,2023091701,,,202309170buf,,401547411,,7,6,280.0,-355.0,7.5,-110.0,-110.0,47.0,-110.0,-110.0,0,outdoors,,,,00-0031345,00-0034857,Jimmy Garoppolo,Josh Allen,Josh McDaniels,Sean McDermott,Craig Wrolstad,BUF00,New Era Field
6466,"<a href=""http://localhost:5000/NFL/PbP/2023_03_PIT_LV"">PIT vs. LV</a>",2023,REG,3,2023-09-24,Sunday,20:20,PIT,23.0,LV,18.0,Home,-5.0,41.0,0.0,2023092412,,,202309240rai,,401547439,,6,7,124.0,-148.0,3.0,-110.0,-110.0,43.5,-110.0,-110.0,0,dome,grass,,,00-0038102,00-0031345,Kenny Pickett,Jimmy Garoppolo,Mike Tomlin,Josh McDaniels,Tra Blake,VEG00,Allegiant Stadium
6480,"<a href=""http://localhost:5000/NFL/PbP/2023_04_LV_LAC"">LV vs. LAC</a>",2023,REG,4,2023-10-01,Sunday,16:05,LV,17.0,LAC,24.0,Home,7.0,41.0,0.0,2023100110,,,202310010sdg,,401547447,,7,7,250.0,-310.0,7.0,-115.0,-105.0,49.0,-110.0,-110.0,1,dome,matrixturf,,,00-0038579,00-0036355,Aidan O'Connell,Justin Herbert,Josh McDaniels,Brandon Staley,John Hussey,LAX01,SoFi Stadium
